,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
EIF1P2,0,0,0,0,0,0,0,0,0,0
EIF1P3,0,0,0,0,0,0,0,0,0,0
EIF1P4,0,0,0,0,0,0,0,0,0,0
EIF1P5,0,0,0,0,0,0,0,0,0,0
EIF1P6,0,0.29,0,0,0,0,0,0,0,0
EIF1P7,0,0,0,0.35,0.31,0.58,0,0,0,0
EIF2A,52.16,57,23,27.14,23.36,29.64,56,39.51,65.43,70.85
EIF2AK1,32.11,38.41,16.53,17.34,12.99,16.53,35.93,25.57,37.07,39.51
EIF2AK2,12.29,16.37,21.59,19.21,14.47,22.06,16.52,5.98,13.13,17.29
EIF2AK3,3.37,3.4,1.87,1.38,2.2,2.59,3.12,1.97,2.79,7
EIF2AK3-DT,0.29,0.17,0.07,0.04,0.25,0.22,0.18,0.15,0.27,0.49
EIF2AK4,4.26,5.2,1.71,2.45,1.26,2.04,5.23,2.78,4.37,4.29
EIF2AP4,0,0,0,0,0,0.08,0,0,0,0.06
EIF2B1,8.48,9.68,3.24,2.92,2.62,2.8,13.19,8.34,8.81,9.51
EIF2B2,22.9,24.26,11.86,13.91,10.84,11.9,29.73,22.62,28.52,27.04
EIF2B3,8.49,9.64,4.71,4.49,2.69,3.48,11.27,8.33,10.85,8.39
EIF2B4,9.77,10.45,4.59,5.42,2.89,3.65,14,10.18,8.76,12.43
EIF2B5,24.92,25.18,10.93,12.3,12.92,15.7,26.89,18.77,28.04,26.58
EIF2D,6.09,7.62,3.84,4.4,2.76,4.11,8.3,5.81,10.05,11.08
EIF2S1,69.36,86.2,42.33,41.48,34.36,41.65,101.58,72.45,100.99,89.28
EIF2S2,31.14,33.04,18.87,17.67,16.5,20.59,41.81,31,40.91,52.1
EIF2S2P2,0.19,0.72,0.39,0.26,0.06,0.05,0.52,0.11,0.32,0.35
EIF2S2P3,0,0.49,0,0.06,0.17,0,0.19,0.05,0.05,0.38
EIF2S2P4,2.34,1.33,0.92,0.72,0.93,1.08,3.73,2.01,2.79,2.12
EIF2S2P5,0.09,0,0.07,0,0,0.11,0.13,0.04,0,0.06
EIF2S2P7,0,0,0,0,0,0.05,0,0,0,0
EIF2S3,28.39,32.42,14.52,14.24,11.89,15.73,39.48,23.66,43.1,42.62
EIF2S3B,3.15,4.53,1.65,1.57,2.18,1.51,3.78,3.13,4.53,5.43
EIF3A,17.46,20.06,7.95,8.02,4.87,7.04,18.79,11.53,17.78,21.07
EIF3B,122.4,117.92,50.83,51.08,40.76,52.35,134.56,79.51,114.25,126.85
EIF3C,212.99,235.59,114.41,105.43,78.01,76.84,233.1,146.73,232.64,241.52
EIF3CL,0.72,0.72,1.17,0,0.41,0.68,1.92,0.44,0,0
EIF3D,74.55,71.99,35.32,37.78,29.25,30.64,81.36,58.55,75.94,75.75
EIF3E,59.62,75.1,32.42,33.16,30.34,34.52,94.12,66.16,113.24,116.99
EIF3EP1,0,0.17,0.02,0.13,0,0,0.33,0.06,0.2,0.47
EIF3EP2,0,0.03,0,0,0,0,0.03,0,0,0
EIF3F,22.66,24.83,10.17,12.24,8.16,8.94,26.77,20.29,22.84,34.3
EIF3FP1,0,0,0,0,0,0,0,0.05,0,0
EIF3FP3,2.03,1.5,1.09,0.93,0.64,0.43,2.57,2.63,1.97,2.14
EIF3G,36.66,31.91,18.9,17.6,16.22,18.5,40.85,31.11,42.33,37.81
EIF3H,50.39,47.13,27.32,27.87,20.33,23.24,55.72,47.3,60.8,68.34
EIF3I,44.58,40.22,25.18,23.96,16.65,18.32,53.93,42.71,55.07,54.3
EIF3IP1,0,0,0,0.07,0,0,0,0,0,0
EIF3J,10.54,11.48,3.85,3.54,4.58,6.47,12.03,6.44,7.78,12.51
EIF3J-DT,1.31,0.78,0.24,0.36,0.26,0.47,1.43,0.78,1.49,1.04
EIF3K,105.44,105.76,61.32,59.94,43.83,43.37,137.1,109.74,143.53,146.63
EIF3KP1,0.08,0.56,0,0.56,0.1,0.09,0.33,0,0.36,0.1
EIF3KP2,0,0,0,0,0,0,0.12,0,0,0
EIF3KP3,0,0,0,0,0,0,0,0,0,0
EIF3L,69.5,65.39,28.46,33.92,29.33,25.43,69.1,45.56,102.11,105.37
EIF3LP1,0,0,0,0,0,0.03,0,0,0,0
EIF3LP2,0.06,0,0,0,0,0,0.08,0,0,0
EIF3LP3,0,0,0,0,0,0,0,0,0,0
EIF3M,142.69,139.38,67.82,62.06,57.31,73.4,179.23,145.65,170.47,178.06
EIF4A1,164.84,173.21,80.45,85.85,84.98,87.97,189.33,143.29,182.89,177.53
EIF4A1P1,0,0,0,0,0,0,0,0.04,0,0
EIF4A1P10,0.63,0.72,0.38,0.81,0.55,0.33,0.69,0.59,1.15,0.78
EIF4A1P11,0,0,0,0,0,0,0,0,0,0
EIF4A1P12,0,0,0,0,0,0,0,0,0,0
EIF4A1P13,0,0,0,0,0,0,0,0,0,0
EIF4A1P2,0.35,0.23,0.05,0,0.18,0.09,0.15,0.18,0.22,0.13
EIF4A1P3,0,0,0,0,0,0,0,0,0,0
EIF4A1P4,0,0,0,0,0,0,0,0,0,0.05
EIF4A1P5,0,0,0,0,0,0,0,0,0,0
EIF4A1P6,0,0,0,0,0,0,0,0,0,0
EIF4A1P7,0.04,0,0,0,0,0,0,0,0,0
EIF4A1P8,0.11,0.04,0.05,0.05,0,0.04,0.05,0,0,0.05
EIF4A1P9,0,0,0,0,0,0,0,0,0.04,0.05
EIF4A2,234.73,273.69,127.1,133.63,116.35,136.51,303.18,207.31,284.63,295.12
EIF4A2P1,0,0,0,0,0,0,0,0,0,0
EIF4A2P2,0.08,0.15,0,0.12,0,0,0.12,0.1,0.14,0.26
EIF4A2P3,0.04,0.05,0,0,0,0,0.06,0,0,0
EIF4A2P4,0.07,0.09,0,0,0,0.04,0,0.03,0.08,0
EIF4A2P5,0,0,0,0,0,0,0,0,0,0
EIF4A3,31.48,34.08,15.31,18.33,16.26,16.42,35.7,23.93,36.41,34.94
EIF4A3P1,0,0,0,0,0,0,0,0,0,0
EIF4B,54.25,55.38,30.66,32.16,24.88,22.18,59.41,39.84,84.7,84.91
EIF4BP1,0.23,0,0,0,0,0,0,0,0,0
EIF4BP2,0,0,0,0.03,0.03,0,0,0,0,0
EIF4BP3,0.36,0.32,0.35,0.26,0.08,0.13,0.11,0.18,0.64,0.29
EIF4BP4,0,0,0,0,0.03,0,0,0.02,0,0
EIF4BP5,0.07,0.08,0.06,0,0.03,0.05,0.1,0,0,0.09
EIF4BP6,1.36,1.46,0.76,0.48,0.48,0.59,1.38,0.84,2.4,2.53
EIF4BP7,0.87,0.84,0.48,0.48,0.13,0.29,0.31,0.5,0.95,0.73
EIF4BP8,0,0,0,0,0,0,0,0.02,0,0
EIF4BP9,0,0,0,0,0,0,0,0,0,0
EIF4E,24.4,25.63,9.89,10.43,11.99,10.41,26.35,23.45,34.91,35.95
EIF4E1B,0,0,0,0,0,0.12,0.15,0,0.03,0
EIF4E2,15.57,15.82,6.01,8.92,4.14,6.36,22.43,13.96,20.4,17.45
EIF4E2P1,0,0,0,0,0,0,0,0,0,0
EIF4E2P2,0,0,0,0,0,0,0,0,0,0
EIF4E3,1.05,1.32,0.54,0.91,0.46,0.21,1.21,0.86,1.35,1.56
EIF4EBP1,89.35,75.72,41.48,44.63,44.79,43.65,106.91,98.98,116.65,123.46
EIF4EBP1P1,0,0,0,0,0,0,0,0,0,0.58
EIF4EBP2,7.64,9.49,4.31,4.21,2.52,2.51,9.34,5.25,9.63,10.94
EIF4EBP2P1,0,0,0,0,0,0,0,0,0,0
EIF4EBP2P2,0,0,0,0,0,0,0,0,0,0
EIF4EBP2P3,0,0,0,0,0,0,0,0,0,0
EIF4EBP3,1.27,2.2,1.43,0.83,0.9,1.12,1.09,0.5,2.68,2.22
EIF4ENIF1,6.75,5.77,3.6,3.76,2.21,2.18,6.35,9.03,5.08,6.5
EIF4EP1,0.08,0.1,0,0,0.21,0.28,0,0,0,0.1
EIF4EP2,1.57,3.58,1.13,1.28,0.7,1.04,1.97,3.53,3.52,1.86
EIF4EP3,0,0,0.11,0,0,0,0,0,0,0
EIF4EP4,0,0,0,0,0,0,0,0,0,0
EIF4EP5,0,0,0,0,0,0,0,0,0,0
EIF4G1,96.47,100.65,45.52,47.15,38.11,46.83,110.11,58.21,85.45,94.86
EIF4G2,194.3,217.48,94.84,97.75,78.07,97.42,238.87,149.59,194.3,217.08
EIF4G3,5.42,6.31,3.39,2.89,2.68,3.32,6.13,3.16,5.71,5.87
EIF4H,52.52,53.04,26.24,26.45,19.82,24.47,67.42,46,74.2,73.07
EIF4HP1,1.78,1.94,0.31,1.06,0.97,0.89,2.18,1.11,2.99,2.19
EIF4HP2,0.4,0.23,0.14,0.28,0.13,0,0.55,0.16,0.22,0
EIF5,102.26,94.57,50.35,63.41,56.89,65.37,111.57,80.02,114.79,135.16
EIF5A,149.03,150.76,77.33,79.6,68.35,83.06,165.24,97.35,157.79,183.83
EIF5A2,4.41,8.75,1.37,1.21,0.85,1.52,5.13,2.38,5.74,2.28
EIF5A2P1,0.41,0.32,0,0,0,0,0.38,0,0.15,0
EIF5AL1,0.27,0.5,0.17,0.21,0.17,0.15,0.33,0.14,0.31,0.31
EIF5AP2,0,0,0,0,0,0,0.06,0,0.15,0
EIF5AP3,0.27,0.16,0.38,0.19,0,0,0,0.75,0,0.34
EIF5AP4,0,0.66,0,0,0,0,0,0,0,0
EIF5B,6.01,9.31,3.77,3.39,3.95,3.45,7.98,4.7,5.85,11.24
EIF5P1,0,0.04,0.05,0.05,0.09,0.08,0.05,0,0,0.04
EIF5P2,0,0.05,0,0,0,0,0,0,0,0
EIF6,130.12,133,59.71,65.63,43.27,48.16,153.8,125.63,109.21,106.97
EIPR1,8.23,9.56,4.24,5.34,3.72,4.22,8.84,7.07,10.17,10.47
EIPR1-IT1,0.07,0.17,0,0,0,0,0,0,0,0
ELAC1,3.29,1.86,1.01,1.17,1.44,1.34,2.29,1.41,2.4,1.75
ELAC2,13.99,16.78,12.33,8.34,6.53,11.7,21.23,10.95,18.67,15.87
ELANE,0,0,0,0,0,0,0,0,0,0
ELAVL1,7.36,8.42,4.18,4.56,3.85,4.19,10.09,6.43,8.27,11.48
ELAVL2,0,0,0,0,0,0,0.01,0,0,0
ELAVL3,0,0,0,0,0,0,0,0.01,0,0
ELAVL4,0,0,0,0,0,0.02,0,0.02,0,0
ELAVL4-AS1,0,0,0,0,0,0,0,0,0,0
ELDR,0,0.02,0,0,0,0.02,0,0,0,0
ELF1,7.24,7.73,6.98,6.08,8.23,8.38,7.65,4.16,8.72,11.3
ELF2,5.61,5.89,3.77,3.72,3.07,3.64,6.27,4.57,8.98,8.16
ELF2P3,0,0,0,0,0,0,0,0,0,0
ELF3,34.06,32.5,69.8,60.38,45.08,46.81,47.37,27.72,101.84,99.24
ELF3-AS1,0.6,0.48,0.36,0.71,0.67,0.79,0.65,0.44,1.24,1.1
ELF4,3.52,3.79,1.62,2.05,1.87,1.7,3.8,2.27,4.09,3.77
ELF5,0,0,0,0,0,0.04,0,0,0,0
ELFN1,0.05,0.02,0.03,0,0.08,0.01,0.01,0.03,0.04,0.01
ELFN1-AS1,0.49,0.1,0,0.12,0,0.28,0.24,0,0.19,0.1
ELFN2,0.03,0.11,0,0.01,0.01,0,0.09,0.05,0.01,0.01
ELK1,5.08,5.59,2.59,3.16,2.75,2.48,4.63,3.52,5.67,6.14
ELK1P1,0,0,0,0,0,0,0,0,0,0
ELK2AP,0,0,0,0,0,0,0,0.04,0,0.23
ELK2BP,0,0,0,0,0,0,0,0,0,0
ELK3,3.24,3.35,1.42,2.06,1.01,1.55,2.68,1.87,2.96,3.25
ELK4,9.63,9.33,6.12,6.1,7.04,7.86,7.25,7.09,11.88,8.79
ELL,0.73,0.79,0.75,0.76,0.68,0.61,0.9,0.65,1.23,1.01
ELL2,15.15,15.03,6.82,6.83,7.2,6.27,12.4,10.95,9.22,13.62
ELL2P1,0.05,0.21,0,0.15,0.14,0.08,0.09,0.02,0.1,0.03
ELL2P2,0,0,0,0,0,0,0,0,0,0
ELL2P3,0,0,0,0,0,0,0.04,0,0,0
ELL2P4,0,0,0,0,0,0,0,0,0,0
ELL3,0.83,0.66,0.2,0.75,0.12,0.59,0.5,0.42,0.72,0.53
ELMO1,0,0.02,0.19,0,0.24,0,0.03,0,0,0.05
ELMO1-AS1,0,0,0,0,0,0,0,0,0,0
ELMO2,8.42,7.35,3.52,4.9,4.06,3.64,8.22,4.8,6.96,8.41
ELMO2P1,0,0,0,0,0,0,0,0,0,0
ELMO3,4.96,5.01,1.67,2.49,2.24,2.25,6.13,3.76,6.82,5.99
ELMOD1,0.06,0.03,0.08,0.08,0,0,0.17,0,0,0.03
ELMOD2,2.95,4.6,1.81,1.03,0.96,1.96,4.55,3.3,3.74,5.34
ELMOD3,2.72,2.9,2.16,1.27,1.75,1.32,4.17,2.37,2.38,3.53
ELN,0,0.04,0.06,0.09,0.02,0.03,0.04,0.02,0.02,0.12
ELN-AS1,0.11,0.26,0,0.15,0,0.12,0.28,0,0.36,0.13
ELOA,13.96,13.68,7.08,8.02,6.74,6.94,13.02,8.72,12.5,13.39
ELOA-AS1,1.59,2.24,0.61,0.11,0.1,0.25,2.85,1.29,1.74,1.11
ELOA2,0,0.02,0,0,0,0.01,0,0,0,0.1
ELOA3,0.03,0,0,0,0.06,0,0,0.01,0.04,0.03
ELOA3B,0.03,0,0.04,0,0.06,0,0,0.01,0.04,0.03
ELOA3C,0,0.17,0,0,0.03,0,0,0,0,0
ELOA3D,0,0,0,0.06,0,0.15,0.03,0,0,0.03
ELOAP1,0,0.02,0,0,0,0,0.08,0,0,0
ELOB,93.98,94.78,38.04,47.88,37.52,45.65,118.63,114.33,124.89,115.66
ELOBP1,0,0,0,0,0,0,0,0,0,0
ELOBP2,0,0,0,0,0,0,0,0,0,0
ELOBP3,0,0,0,0,0,0,0,0,0,0
ELOBP4,0,0,0,0,0,0,0,0,0,0
ELOC,17.06,15.81,6.51,10.09,8.32,11.66,17.26,16.19,18.14,21.2
ELOCP10,0,0,0,0,0,0,0,0,0,0
ELOCP11,0,0,0,0,0,0,0,0,0,0
ELOCP12,0,0,0,0,0,0,0,0,0,0
ELOCP13,0,0,0,0,0,0,0,0,0,0
ELOCP14,0,0,0,0,0,0,0,0,0,0
ELOCP15,0,0,0,0,0,0,0,0,0,0
ELOCP16,0,0,0,0,0,0,0,0,0,0
ELOCP17,0,0,0,0,0,0,0,0,0,0
ELOCP18,0,0,0,0,0,0,0,0,0,0
ELOCP19,2.86,4.58,0.4,0.79,2.79,1.93,2.31,1.29,3.05,1.69
ELOCP2,0,0,0,0,0,0,0,0,0,0
ELOCP20,0,0,0,0,0,0,0,0,0,0
ELOCP21,0,0,0,0,0,0,0,0,0,0
ELOCP22,0,0,0,0,0,0,0,0,0,0
ELOCP23,0,0,0,0,0,0,0,0,0,0
ELOCP24,0,0,0,0,0,0,0,0,0,0
ELOCP26,0,0,0,0,0,0,0,0,0,0
ELOCP28,0,0,0,0,0,0,0,0,0,0
ELOCP29,0,0,0,0,0,0,0,0,0,0
ELOCP3,0,0,0,0,0,0,0,0,0,0
ELOCP30,0,0,0,0,0,0,0,0,0,0
ELOCP31,0,0,0,0.38,0,0,0.18,0,0,0
ELOCP32,0,0,0,0,0,0,0,0,0,0
ELOCP33,0,0,0,0,0,0,0,0,0,0
ELOCP34,0,0,0,0,0,0,0,0,0,0
ELOCP35,0,0,0,0,0,0,0,0,0,0
ELOCP4,0,0,0,0,0,0,0,0,0,0
ELOCP5,0,0,0,0,0,0,0,0,0,0
ELOCP6,0,0,0,0,0,0,0,0,0,0
ELOCP7,0,0,0,0,0,0,0,0,0,0
ELOCP8,0,0,0,0,0,0,0,0,0,0
ELOCP9,0,0,0,0,0,0,0,0,0,0
ELOF1,13.29,15.3,6.3,5.9,6.96,7.4,16.59,14.22,14.78,15.76
ELOVL1,55.15,50.06,28.54,28.23,23.04,24.3,63.28,46.26,54.14,48.74
ELOVL2,0.03,0.03,0.01,0.01,0.02,0.03,0.05,0.09,0.04,0.06
ELOVL2-AS1,0,0,0,0.2,0.03,0,0.1,0.17,0.24,0
ELOVL3,0.03,0.07,0.3,0.17,0.7,0.69,0.17,0.08,0.49,0.5
ELOVL4,0.32,0.7,0.11,0.22,0.17,0.25,0.57,0.42,0.45,0.46
ELOVL5,11.79,14.45,8.58,7.52,6.03,9.11,15.4,8.17,20.38,22.43
ELOVL6,6.14,6.93,3.4,5.6,7.15,3.01,8.06,4.76,12.84,7.77
ELOVL7,4.32,7.57,4.37,4.5,4.66,6.44,6.59,3.73,5.47,6.6
ELP1,3.75,4.26,2.04,2.03,1.5,1.37,4.37,2.28,6.01,4.19
ELP2,16.78,18.38,10.54,7.02,6.55,10.9,20.74,12.08,20.35,31.52
ELP3,9.87,8.79,5.48,5.06,6.31,4.43,12.87,8.08,9.33,9.06
ELP4,5.53,6.91,3.8,6.26,4.62,5.17,7.31,6.73,11.35,9.87
ELP5,6.26,6.14,2.93,2.62,2.19,2.95,6.34,5.45,7.1,7.52
ELP6,8.45,11.02,6.15,4.96,3.84,5.61,10.14,7.39,11.74,9.88
ELSPBP1,0,0,0,0,0,0,0,0,0,0
EMB,20.29,24.51,11.62,10.43,5.98,9.94,24.53,14.03,22.88,17.45
EMBP1,0.44,0.53,0.29,0.46,0.01,0.08,0.29,0.25,0.47,1.32
EMC1,3.97,6.45,1.94,4.81,2.91,3.01,6.26,3.27,5.37,5.06
EMC1-AS1,0,0.28,0,0,0,0,0,0,0,0.31
EMC10,35.93,34.21,18.99,20.81,16.56,17.97,42.78,30.36,42.67,41.15
EMC2,10.39,11,5.03,3.96,4.79,5.74,13,8.3,15.7,19.59
EMC3,20.3,21.79,7.47,10.06,12.73,7.6,30.06,22.05,25.82,24.17
EMC3-AS1,0.87,1.11,0.74,0.8,0.4,1.89,1.45,1.39,2.01,1.27
EMC4,18.6,20,6.86,7.65,4.52,6.43,24.87,18.86,19.32,19.27
EMC6,14.26,14.59,8.15,7.23,7.02,10.66,16.47,12.88,17.99,16.37
EMC7,17.95,21.06,7.52,7.11,7.09,8.46,21.85,18.85,17.65,17.92
EMC8,14.54,16.18,6.12,7.62,4.2,7.06,14.71,11.7,15.77,11.64
EMC9,4.62,6.97,3.78,5.13,5.06,6.35,5.62,4.92,9.65,9.05
EMCN,0,0,0,0,0,0.03,0,0.01,0,0
EMD,6.8,7.77,5.35,3.77,4.25,3.21,10.58,8.04,9.64,9
EME1,4.78,5.1,3.65,5.46,3.88,3.39,7.04,4.9,7.85,8.53
EME2,2.74,3.94,1.42,1.65,1.4,1.63,3.73,1.88,1.45,2.02
EMG1,25.22,23.67,12.87,13.32,18.32,16.6,33.86,32.4,34.22,30.12
EMID1,0.3,0.02,0.1,0.06,0.03,0.07,0.19,0.15,0.22,0.29
EMILIN1,0.18,0.17,0,0.04,0,0.05,0.12,0.07,0.03,0.03
EMILIN2,2.72,2.71,0.98,0.99,0.78,1.08,3.19,1.98,2.45,2.58
EMILIN3,0.04,0.01,0.03,0,0.05,0,0.09,0.02,0.03,0.03
EML1,0.57,1.15,0.38,0.61,0.28,0.54,1.96,1.06,0.49,1.92
EML2,7.97,8.97,4.91,5.77,2.92,6.53,7.4,5.51,8.89,6.99
EML2-AS1,0.09,0.13,0.08,0,0.15,0.3,0,0.17,0.12,0
EML3,5.7,6.62,2.78,2.39,2.41,2.09,6.43,3.86,8.41,6.52
EML4,11.48,12.6,6.8,6.93,5.05,6.41,14.53,7.45,17.08,17.13
EML4-AS1,0.43,0.4,0,0,0.44,0.24,0.63,0.35,0.24,0.28
EML5,0.08,0.18,0.13,0.08,1.16,0.03,0.14,0.08,0.11,0.12
EML6,0.14,0.27,0.18,0.05,0.1,0.14,0.14,0.12,0.52,1.01
EML6-AS1,0,0,0,0,0,0,0,0,0,0
EMP1,31.33,33.1,12.95,13.93,9.56,6.75,31.99,19.65,21.68,16.24
EMP2,4.89,4.22,2.04,3.32,2.48,1.45,5.11,2.63,8.41,7.39
EMP2P1,0,0,0,0,0,0,0,0,0,0
EMP3,5.23,3.7,0.79,1.36,1.12,0.92,6.04,5.01,1.35,1.75
EMSLR,3.13,3.77,1.23,1.27,1.34,0.88,4.24,3.37,2.82,2.68
EMSY,4.41,4.83,3.25,2.12,2.45,3.48,3.96,2.48,4.84,4.54
EMX1,0.01,0,0,0,0.02,0.02,0.06,0.03,0.02,0.02
EMX2,0.03,0,0,0.05,0.02,0,0,0.01,0.02,0
EMX2OS,0,0,0,0,0,0,0,0,0,0
EN1,0.62,0.37,0.02,0.09,0.02,0.02,0.18,0.08,0.29,0.04
EN2,0.01,0.03,0,0,0.04,0.03,0.13,0.07,0.03,0.03
ENAH,19.15,21.18,8.8,7.53,6.57,7.66,22.6,14.03,26.31,27.56
ENAM,0,0.06,0.14,0.01,0.01,0.02,0.06,0.03,0.46,0.25
ENC1,7.37,7.66,4.83,4.69,5.45,5.49,6.61,4.62,7.01,8.44
ENDOD1,8.21,8.94,9.45,9.38,8.59,10.09,9.77,5.63,9.38,9.84
ENDOG,3.12,3.09,1.3,1.06,0.5,1.12,2.92,1.97,2.67,2.99
ENDOU,0,0.02,0,0,0,0,0,0.01,0,0.02
ENDOV,5.86,9.03,2.41,2.24,2.08,2.34,4.8,3.71,4.5,6.37
ENG,0.17,0.24,0.33,0.09,0.12,0.16,0.4,0.1,0.31,0.13
ENGASE,2.58,3.35,1.61,0.87,1.87,1.83,4.53,1.81,3.38,2.62
ENHO,0,0,0,0,0,0.05,0.12,0.04,0.3,0.28
ENKD1,3.5,4.24,1.9,2.2,1.31,1.34,5.21,3.84,5.32,4.2
ENKUR,0.06,0.24,0.05,0.09,0,0.07,0.05,0,0.05,0.12
ENO1,337.31,324.69,157.72,158.03,106.53,120.71,390.3,278.19,430.9,431.72
ENO1-AS1,0,0.49,0.2,0,0,0,0.58,0,0,0
ENO1P1,0,0,0,0,0,0,0,0.05,0,0
ENO1P2,0,0,0,0,0,0,0,0,0,0
ENO1P3,0.11,0.3,0,0,0,0.08,0.2,0.12,0,0.14
ENO1P4,0.9,0.54,0.04,0.12,0,0,0.22,0.31,0.03,0
ENO2,4.03,4.3,1.37,1.68,1.63,1,3.9,3.92,3.02,3.23
ENO3,2.95,1.9,0.94,1.74,2.01,0.85,1.99,1.26,2.4,2.67
ENO4,0.06,0,0.04,0,0,0,0,0.02,0,0
ENOPH1,14.14,14.45,7.23,7.35,5.29,6.62,18.37,12.71,16.65,18.58
ENOSF1,8.81,9.87,5.59,7.18,3.17,3.14,12.47,8.79,11.6,12.3
ENOX1,0.03,0.02,0.04,0.06,0.02,0.02,0.07,0.28,0,0.03
ENOX1-AS1,0,0,0.01,0,0,0,0,0,0,0
ENOX1-AS2,0,0,0,0,0,0,0,0,0,0
ENOX2,5.04,3.98,2.15,2.89,1.44,1.92,5.54,3.32,5.95,5.37
ENPEP,0.01,0.01,0,0.09,0,0,0.01,0,0,0
ENPP1,0.48,0.46,0.36,0.6,1.05,0.67,0.4,0.29,0.7,1.02
ENPP2,0.02,0,0,0,0,0,0,0,0,0.01
ENPP3,0.01,0.03,0,0,0,0,0,0,0,0
ENPP4,3.42,3.84,2.25,1.89,1.29,1.67,4.31,3.09,4.98,5.93
ENPP5,3.49,3.24,1.71,1.57,1.06,1.32,4.02,3.05,3.39,4.31
ENPP6,0,0,0,0,0,0.11,0,0,0,0
ENPP7,0,0,0,0,0,0,0.03,0,0,0
ENPP7P1,0,0,0,0.19,0,0,0,0.04,0.05,0
ENPP7P10,0,0,0,0,0,0,0,0,0.06,0
ENPP7P11,0,0,0,0,0,0,0,0,0,0
ENPP7P12,0.33,0.89,0,0.59,0.11,0.19,0.7,0.07,1.04,0.94
ENPP7P13,0,0,0,0,0,0,0,0,0,0
ENPP7P14,0,0,0,0,0,0,0,0.04,0,0
ENPP7P2,0.1,0,0,0,0,0,0,0,0,0
ENPP7P3,0,0,0,0,0,0,0,0,0,0
ENPP7P4,0,0.15,0.06,0,0,0.05,0.06,0.07,0,0.21
ENPP7P5,0,0,0,0,0,0,0,0,0,0
ENPP7P6,0,0,0,0,0,0,0,0,0,0
ENPP7P7,0,0,0,0,0,0,0,0,0,0
ENPP7P8,0,0,0,0,0.7,0,0,0,0,0
ENPP7P9,0,0,0,0,0,0,0,0.07,0,0
ENSA,59.28,61.96,31.79,39.92,34.64,35.15,80.72,63.21,104.94,101.72
ENSAP1,0,0,0,0,0,0,0,0,0,0
ENSAP2,1.5,2.86,2.05,0.64,1.92,1.9,3.22,1.87,3.07,4.85
ENSAP3,0,0,0,0,0,0,0.35,0,0,0
ENTHD1,0.01,0,0,0,0,0,0.02,0,0,0
ENTPD1,0.37,0.46,0.12,0.12,0.02,0.05,0.56,0.35,0.31,0.29
ENTPD1-AS1,2.02,2.5,1.37,0.92,0.93,1.21,2.17,1.65,1.82,2.04
ENTPD2,0.06,0.03,0,0,0,0,0.08,0.14,0.09,0.04
ENTPD3,0.6,0.75,0.15,0.39,0.13,0.09,1.02,0.49,0.9,0.55
ENTPD3-AS1,0.61,0.59,0.03,0.13,0.12,0.48,0.6,0.62,0.71,0.82
ENTPD4,10.31,12.41,4.56,3.69,3.89,6.4,13.15,6.98,13.12,14.12
ENTPD5,1.92,1.65,1.12,1.29,0.84,0.77,2.16,1.12,1.59,1.98
ENTPD6,6.99,9.01,3.79,4.41,4.35,4.74,8.13,5.62,9.74,8.43
ENTPD7,0.96,1.2,0.35,0.42,0.58,0.56,1.22,0.82,1.13,1.05
ENTPD8,0.03,0.15,0.05,0.03,0,0.04,0.16,0.12,0.2,0.09
ENTR1,10.79,9.52,3.3,4.8,3.84,4.22,8.99,6.89,6.62,6.41
ENTR1P1,0,0,0,0,0,0,0,0.03,0,0
ENTR1P2,0,0,0,0,0,0.05,0,0,0,0
ENY2,27.25,28.55,15.71,17.53,20.03,23.42,38.75,32.89,43.04,45.26
EOGT,2.96,3.55,1.75,1.61,1.2,0.95,3.18,2.53,2.31,3.4
EOLA1,5.49,6.23,2.88,3.47,3.38,3.03,7.83,4.74,5.62,5.2
EOLA2,10.5,10.69,6.38,4.88,4.64,6.4,13.52,10.98,13.4,10.93
EOMES,0.14,0.1,0.11,0.05,0.05,0.22,0.19,0.16,0.1,0.09
EP300,4.16,4.09,3.96,2.62,1.91,2.58,5.4,2.43,3.04,3.73
EP300-AS1,0,0,0,0,0.52,0,0,0.22,0.15,0
EP400,1.62,2,0.78,0.84,0.76,0.91,1.91,0.74,1.49,2.21
EP400P1,1.47,1.41,0.71,1.3,0.35,0.68,1.52,0.96,1.39,1.22
EPAS1,2.84,2.13,0.94,0.79,1.28,0.9,3.77,2.26,2.36,1.57
EPB41,5.04,7.11,3.3,3.22,2.9,3.17,7.4,3.68,9.33,8.05
EPB41L1,8.57,11.46,4.8,4.56,2.79,3.44,10.51,10.69,15.3,14.72
EPB41L2,45.52,39.64,26.31,23.97,21.21,23.13,56.8,35.48,58.46,54.58
EPB41L3,0.01,0,0,0,0,0,0,0,0,0.02
EPB41L4A,2.27,3.99,2.74,3.7,4.1,5.01,3.68,3.36,7.83,6.75
EPB41L4A-AS1,13.75,10.21,5.74,3.56,6.21,8.11,12.13,8.07,8.57,12.83
EPB41L4A-DT,0.38,0.68,0.13,0.25,0.22,0.25,0.21,0.28,1.15,0.72
EPB41L4B,0.79,1.18,0.2,0.31,0.21,0.4,1.27,0.78,1.04,1.14
EPB41L5,4.18,4.71,3.03,2.12,3.94,3.16,6.93,4.18,6.57,6.81
EPB42,0,0,0,0,0,0,0,0,0,0
